"Now Shopping by","تسوق الآن من"
"See All (","انظر (جميع"
" unread)"," غير مقروء)"
"Show Toolbar","إظهار شريط الأدوات"
"Show List","إظهار القائمة"
"Use HTTPS to Get Feed","استخدام HTTPS للحصول على تغذية"
"Update Frequency","تردد التحديث"
Severity,خطورة
"Date Added","اضافة تاريخ"
"Close popup","أغلق النافذة المنبثقة"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","لقد قمت برؤية جميع إشعارات النظام الأخيرة وحلها. يرجى تحديث صفحة الويب لمسح تنبيه الإشعار."
Banners,اللافتات
"Add Banner","إضافة جزء إعلاني"
"Save Banner","حفظ الإعلان"
"Delete Banner","حذف اللافتة"
"New Banner","إضافة لافتة إعلانية"
"Default Content","المحتوى الافتراضي"
"No Default Content","لا يوجد محتوى افتراضي"
"Banner Default Content for All Store Views","شعار المحتوى الافتراضي لجميع واجهات المتاجر"
"Store View Specific Content","محتوى محدد لواجة متجر"
"Related Promotions","عروض ذات صلة"
"Banner Properties","خصائص الشعار"
"Banner Name","اسم الجزء الإعلاني"
"Any Banner Type","أي نوع للالفتات"
"Specified Banner Types","أنواع لافتة محدد"
"Specify Types","تحديد أنواع"
"Banner Information","معلومات اللافاتة"
Banner,شعار
"Banner Type","أنواع الشعارات"
"Are you sure you want to delete these banners?","هل أنت متأكد من أنك تريد حذف هذه اللافتات؟"
"Related Banners","لافتات ذات صلة"
"This banner does not exist.","هذا الشعار غير موجود."
"You deleted the banner.","قمت بحذف الشعار."
"Something went wrong while deleting banner data. Please review the action log and try again.","حدث خطأ أثناء حذف بيانات الشعار. الرجاء مراجعة سجل الإجراء والمحاولة مرة أخرى."
"We cannot find a banner to delete.","لا يمكن أن نجد لافتة حذفها."
"This banner no longer exists.","هذا الشعار لم يعد موجوداً."
"Edit Banner","تعديل الجزء الإعلاني"
"Please select a banner(s).","الرجاء تحديد اللافته (اللافتات)."
"You deleted %1 record(s).","لقد حذفت %1 من السجلات."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","حدث خطأ أثناء الحذف الكلي للافتات. الرجاء مراجعة سجل الإجراء و المحاولة مرة أخرى."
"You saved the banner.","تم حفظ اللافتة."
"We cannot save the banner.","لا يمكن حفظ اللافتة."
"Please enter a name.","الرجاء إدخال الأسم."
"Please specify default content for at least one store view.","الرجاء تحديد المحتوى الافتراضي لواجهة متجر واحدة على الأقل."
"-- None --","-- لا شيء --"
"Related Cart Price Rules","قواعد سعر السلة ذات الصلة"
"Related Catalog Price Rules","قواعد سعر الكتالوج ذات الصلة"
"Content Area","منطقة المحتوى"
"Left Column","العمود الأيسر"
"Right Column","العمود الأيمن"
"Manage Banners","إدارة اللافتات"
"Banner Rotator","نظام الاعلانات بموقعك"
"Displays Specified or Promotion Banners","يعرض لافتات محددة أو ترويجة"
"Banners to Display","لافتات للعرض"
"Specified Banners","لافتات محددة"
"Shopping Cart Promotions Related","عروض متعلقة بسلة الشراء"
"Catalog Promotions Related","عروض متعلة بالكتالوج"
"Restrict by Banner Types","مقيد بأنواع اللفتات"
"Rotation Mode","وضع الاستدارة"
"Display all instead of rotating","عرض كل شيء بدلاً من التدوير"
"One at the time, Random","واحدة في كل مرة، عشوائي"
"One at the time, Series","واحدة في مرة، متسلسل"
"One at the time, Shuffle","واحدة في مرة، مخلوطة"
"Specify Banners","حدد لافتة"
"Banner Block Template","قالب كتلة اللافتة"
"Banner Inline Template","قالب الشعار المضمن"
"Import and Export Tax Rates","استيراد وتصدير معدلات الضرائب"
"The tax rate has been imported.","تم استيراد معدل الضريبة."
"Invalid file upload attempt","محاولة رفع ملف غير صحيحة"
"Invalid file upload attempt.","محاولة رفع ملف غير صحيحة."
"Invalid file format.","تنسيق ملف غير صالح."
"Import Tax Rates","استيراد معدلات الضريبة"
"Export Tax Rates","تصدير معدلات الضريبة"
"Import/Export Tax Rates","استيراد/تصدير معدلات الضريبة"
"You are subscribed to our newsletter.","أنت حاليا مشترك في نشرتنا البريدية."
"You aren't subscribed to our newsletter.","أنت حاليا غير مشترك في نشرتنا البريدية."
"You have not set a default shipping address.","لم تقم بتعيين عنوان افتراضي للشحن."
"You have not set a default billing address.","لم تقم بتعيين عنوان دفع افتراضي."
region,المنطقة
"Save Customer","حفظ عميل"
"Are you sure you want to revoke the customer's tokens?","هل أنت متأكد من أنك تريد إلغاء الرموز المميزة العميل؟"
"New Customer","عميل جديد"
"Shopping Cart from %1","سلة التسوق من %1"
"Newsletter Information","معلومات القائمة البريدية"
"Subscribed to Newsletter","اشتركت في القائمة البريدية"
"Last Date Subscribed","اخر تاريخ للاشتراك"
"Last Date Unsubscribed","اخر تاريخ لالغاء الاشتراك"
"No Newsletter Found","لا يوجد قائمة بريدية"
"Start date","تاريخ البدء"
"Receive Date","تاريخ الاستقبال"
"There are no items in customer's shopping cart.","لا توجد أي عناصر في عربة التسوق الخاص بالزبون."
Confirmed,"تم التأكيد"
"Confirmation Required","مطلوب التاكيد"
"Confirmation Not Required","غير مطلوب التاكيد"
"The customer does not have default billing address.","العميل ليس لديه عنوان دفع افتراضي."
Offline,"غير متصل"
Online,متصل
Locked,مجمد
"Deleted Stores","المتاجر المحذوفة"
"Add Locale","إضافة لغة"
"Add Date","إضافة التاريخ"
"Days in Wish List","الأيام في قائمة الأمنيات"
"Delete Image","حذف الصورة"
"View Full Size","عرض الحجم الكامل"
"All countries","جميع الدول"
"Add New Customer Group","إضافة مجموعة جديدة من العملاء"
"Save Customer Group","حفظ مجموعة عملاء"
"Delete Customer Group","حذف مجموعة عملاء"
"New Customer Group","مجموعة عميل جديدة"
"Edit Customer Group ""%1""","تعديل مجموعة العملاء ""%1"""
